dataset,image_id,image_path,gender,race,age
fairface,fairface_002175,data/raw/fairface/fairface_002175.jpg,1,6,4
fairface,fairface_002129,data/raw/fairface/fairface_002129.jpg,1,5,5
fairface,fairface_002833,data/raw/fairface/fairface_002833.jpg,1,1,3
fairface,fairface_007605,data/raw/fairface/fairface_007605.jpg,1,2,4
fairface,fairface_003087,data/raw/fairface/fairface_003087.jpg,1,5,4
fairface,fairface_002458,data/raw/fairface/fairface_002458.jpg,1,2,4
fairface,fairface_001919,data/raw/fairface/fairface_001919.jpg,1,1,6
fairface,fairface_006292,data/raw/fairface/fairface_006292.jpg,1,5,2
fairface,fairface_001142,data/raw/fairface/fairface_001142.jpg,1,0,7
fairface,fairface_008608,data/raw/fairface/fairface_008608.jpg,1,2,1
fairface,fairface_009944,data/raw/fairface/fairface_009944.jpg,0,2,1
fairface,fairface_006479,data/raw/fairface/fairface_006479.jpg,0,1,4
fairface,fairface_000541,data/raw/fairface/fairface_000541.jpg,1,5,4
fairface,fairface_003431,data/raw/fairface/fairface_003431.jpg,1,2,0
fairface,fairface_004584,data/raw/fairface/fairface_004584.jpg,0,2,4
fairface,fairface_006114,data/raw/fairface/fairface_006114.jpg,1,1,3
fairface,fairface_008432,data/raw/fairface/fairface_008432.jpg,1,3,1
fairface,fairface_001048,data/raw/fairface/fairface_001048.jpg,1,3,3
fairface,fairface_009041,data/raw/fairface/fairface_009041.jpg,0,5,4
fairface,fairface_008006,data/raw/fairface/fairface_008006.jpg,0,3,4
fairface,fairface_008694,data/raw/fairface/fairface_008694.jpg,1,4,3
fairface,fairface_004720,data/raw/fairface/fairface_004720.jpg,0,1,8
fairface,fairface_005035,data/raw/fairface/fairface_005035.jpg,1,5,7
fairface,fairface_003711,data/raw/fairface/fairface_003711.jpg,1,4,3
fairface,fairface_009157,data/raw/fairface/fairface_009157.jpg,0,5,1
fairface,fairface_000121,data/raw/fairface/fairface_000121.jpg,0,0,3
fairface,fairface_007600,data/raw/fairface/fairface_007600.jpg,1,5,2
fairface,fairface_006512,data/raw/fairface/fairface_006512.jpg,1,1,3
fairface,fairface_004179,data/raw/fairface/fairface_004179.jpg,0,6,1
fairface,fairface_007513,data/raw/fairface/fairface_007513.jpg,1,5,3
fairface,fairface_006853,data/raw/fairface/fairface_006853.jpg,1,5,5
fairface,fairface_000931,data/raw/fairface/fairface_000931.jpg,0,3,4
fairface,fairface_001202,data/raw/fairface/fairface_001202.jpg,1,3,5
fairface,fairface_007229,data/raw/fairface/fairface_007229.jpg,0,5,3
fairface,fairface_003644,data/raw/fairface/fairface_003644.jpg,1,6,2
fairface,fairface_008479,data/raw/fairface/fairface_008479.jpg,0,1,2
fairface,fairface_001042,data/raw/fairface/fairface_001042.jpg,0,5,6
fairface,fairface_008501,data/raw/fairface/fairface_008501.jpg,1,5,4
fairface,fairface_005562,data/raw/fairface/fairface_005562.jpg,1,0,3
fairface,fairface_008418,data/raw/fairface/fairface_008418.jpg,1,0,0
fairface,fairface_005141,data/raw/fairface/fairface_005141.jpg,1,6,6
fairface,fairface_005198,data/raw/fairface/fairface_005198.jpg,1,4,7
fairface,fairface_002477,data/raw/fairface/fairface_002477.jpg,0,2,7
fairface,fairface_006668,data/raw/fairface/fairface_006668.jpg,0,0,3
fairface,fairface_001631,data/raw/fairface/fairface_001631.jpg,0,2,2
fairface,fairface_006624,data/raw/fairface/fairface_006624.jpg,1,2,1
fairface,fairface_002598,data/raw/fairface/fairface_002598.jpg,0,0,3
fairface,fairface_006309,data/raw/fairface/fairface_006309.jpg,0,0,5
fairface,fairface_007958,data/raw/fairface/fairface_007958.jpg,1,5,6
fairface,fairface_005895,data/raw/fairface/fairface_005895.jpg,1,6,2
fairface,fairface_000974,data/raw/fairface/fairface_000974.jpg,1,1,1
fairface,fairface_001911,data/raw/fairface/fairface_001911.jpg,1,4,6
fairface,fairface_008031,data/raw/fairface/fairface_008031.jpg,0,3,3
fairface,fairface_004057,data/raw/fairface/fairface_004057.jpg,1,1,5
fairface,fairface_002845,data/raw/fairface/fairface_002845.jpg,1,3,7
fairface,fairface_001024,data/raw/fairface/fairface_001024.jpg,1,2,4
fairface,fairface_006734,data/raw/fairface/fairface_006734.jpg,0,6,4
fairface,fairface_004124,data/raw/fairface/fairface_004124.jpg,1,5,1
fairface,fairface_001645,data/raw/fairface/fairface_001645.jpg,0,0,1
fairface,fairface_006630,data/raw/fairface/fairface_006630.jpg,1,0,5
fairface,fairface_000420,data/raw/fairface/fairface_000420.jpg,1,6,2
fairface,fairface_004259,data/raw/fairface/fairface_004259.jpg,0,1,6
fairface,fairface_003124,data/raw/fairface/fairface_003124.jpg,0,3,4
fairface,fairface_005191,data/raw/fairface/fairface_005191.jpg,1,0,4
fairface,fairface_007287,data/raw/fairface/fairface_007287.jpg,0,0,4
fairface,fairface_005322,data/raw/fairface/fairface_005322.jpg,0,4,3
fairface,fairface_008803,data/raw/fairface/fairface_008803.jpg,1,3,5
fairface,fairface_000747,data/raw/fairface/fairface_000747.jpg,0,0,3
fairface,fairface_005317,data/raw/fairface/fairface_005317.jpg,1,6,3
fairface,fairface_007530,data/raw/fairface/fairface_007530.jpg,1,2,1
fairface,fairface_004157,data/raw/fairface/fairface_004157.jpg,1,0,3
fairface,fairface_009974,data/raw/fairface/fairface_009974.jpg,1,5,3
fairface,fairface_007572,data/raw/fairface/fairface_007572.jpg,0,2,5
fairface,fairface_001140,data/raw/fairface/fairface_001140.jpg,0,0,4
fairface,fairface_009607,data/raw/fairface/fairface_009607.jpg,0,3,3
fairface,fairface_000145,data/raw/fairface/fairface_000145.jpg,1,6,5
fairface,fairface_006555,data/raw/fairface/fairface_006555.jpg,0,5,2
fairface,fairface_006943,data/raw/fairface/fairface_006943.jpg,1,1,1
fairface,fairface_004958,data/raw/fairface/fairface_004958.jpg,1,3,4
fairface,fairface_007205,data/raw/fairface/fairface_007205.jpg,0,3,4
fairface,fairface_005855,data/raw/fairface/fairface_005855.jpg,0,5,5
fairface,fairface_001967,data/raw/fairface/fairface_001967.jpg,0,0,3
fairface,fairface_006081,data/raw/fairface/fairface_006081.jpg,1,5,6
fairface,fairface_000833,data/raw/fairface/fairface_000833.jpg,1,6,3
fairface,fairface_006599,data/raw/fairface/fairface_006599.jpg,1,2,3
fairface,fairface_001168,data/raw/fairface/fairface_001168.jpg,0,2,1
fairface,fairface_006424,data/raw/fairface/fairface_006424.jpg,0,5,4
fairface,fairface_008920,data/raw/fairface/fairface_008920.jpg,0,6,4
fairface,fairface_006702,data/raw/fairface/fairface_006702.jpg,0,5,4
fairface,fairface_009240,data/raw/fairface/fairface_009240.jpg,1,2,5
fairface,fairface_003366,data/raw/fairface/fairface_003366.jpg,0,6,8
fairface,fairface_004620,data/raw/fairface/fairface_004620.jpg,1,4,3
fairface,fairface_004497,data/raw/fairface/fairface_004497.jpg,0,4,2
fairface,fairface_004337,data/raw/fairface/fairface_004337.jpg,1,4,2
fairface,fairface_002421,data/raw/fairface/fairface_002421.jpg,0,4,3
fairface,fairface_004556,data/raw/fairface/fairface_004556.jpg,1,2,1
fairface,fairface_007303,data/raw/fairface/fairface_007303.jpg,0,2,4
fairface,fairface_006139,data/raw/fairface/fairface_006139.jpg,1,3,3
fairface,fairface_006152,data/raw/fairface/fairface_006152.jpg,1,2,4
fairface,fairface_000711,data/raw/fairface/fairface_000711.jpg,1,3,5
fairface,fairface_001883,data/raw/fairface/fairface_001883.jpg,1,1,1
fairface,fairface_001109,data/raw/fairface/fairface_001109.jpg,0,3,5
fairface,fairface_009376,data/raw/fairface/fairface_009376.jpg,1,1,5
fairface,fairface_009952,data/raw/fairface/fairface_009952.jpg,1,3,5
fairface,fairface_000696,data/raw/fairface/fairface_000696.jpg,1,5,5
fairface,fairface_009406,data/raw/fairface/fairface_009406.jpg,0,1,3
fairface,fairface_003456,data/raw/fairface/fairface_003456.jpg,1,4,4
fairface,fairface_008991,data/raw/fairface/fairface_008991.jpg,1,6,2
fairface,fairface_006031,data/raw/fairface/fairface_006031.jpg,0,3,2
fairface,fairface_002772,data/raw/fairface/fairface_002772.jpg,1,2,5
fairface,fairface_009837,data/raw/fairface/fairface_009837.jpg,1,6,3
fairface,fairface_003963,data/raw/fairface/fairface_003963.jpg,1,1,6
fairface,fairface_007644,data/raw/fairface/fairface_007644.jpg,1,6,5
fairface,fairface_000511,data/raw/fairface/fairface_000511.jpg,0,0,2
fairface,fairface_005130,data/raw/fairface/fairface_005130.jpg,1,0,3
fairface,fairface_009831,data/raw/fairface/fairface_009831.jpg,1,2,3
fairface,fairface_005836,data/raw/fairface/fairface_005836.jpg,1,3,4
fairface,fairface_004138,data/raw/fairface/fairface_004138.jpg,0,3,4
fairface,fairface_002773,data/raw/fairface/fairface_002773.jpg,0,3,5
fairface,fairface_005446,data/raw/fairface/fairface_005446.jpg,0,0,3
fairface,fairface_008029,data/raw/fairface/fairface_008029.jpg,1,1,4
fairface,fairface_002056,data/raw/fairface/fairface_002056.jpg,0,3,6
fairface,fairface_009331,data/raw/fairface/fairface_009331.jpg,1,6,1
fairface,fairface_003516,data/raw/fairface/fairface_003516.jpg,0,5,4
fairface,fairface_000019,data/raw/fairface/fairface_000019.jpg,1,6,6
fairface,fairface_000900,data/raw/fairface/fairface_000900.jpg,0,2,3
fairface,fairface_000183,data/raw/fairface/fairface_000183.jpg,1,3,3
fairface,fairface_007285,data/raw/fairface/fairface_007285.jpg,1,5,4
fairface,fairface_008630,data/raw/fairface/fairface_008630.jpg,1,2,4
fairface,fairface_008957,data/raw/fairface/fairface_008957.jpg,1,4,1
fairface,fairface_003960,data/raw/fairface/fairface_003960.jpg,0,2,8
fairface,fairface_007981,data/raw/fairface/fairface_007981.jpg,1,3,4
fairface,fairface_003295,data/raw/fairface/fairface_003295.jpg,0,5,5
fairface,fairface_002971,data/raw/fairface/fairface_002971.jpg,0,1,3
fairface,fairface_002314,data/raw/fairface/fairface_002314.jpg,0,4,6
fairface,fairface_002648,data/raw/fairface/fairface_002648.jpg,0,2,4
fairface,fairface_004689,data/raw/fairface/fairface_004689.jpg,1,3,5
fairface,fairface_008711,data/raw/fairface/fairface_008711.jpg,1,5,5
fairface,fairface_004854,data/raw/fairface/fairface_004854.jpg,1,6,5
fairface,fairface_009903,data/raw/fairface/fairface_009903.jpg,1,2,2
fairface,fairface_003400,data/raw/fairface/fairface_003400.jpg,1,2,4
fairface,fairface_007116,data/raw/fairface/fairface_007116.jpg,1,6,2
fairface,fairface_006175,data/raw/fairface/fairface_006175.jpg,0,0,4
fairface,fairface_003778,data/raw/fairface/fairface_003778.jpg,0,5,5
fairface,fairface_001709,data/raw/fairface/fairface_001709.jpg,0,4,4
fairface,fairface_008959,data/raw/fairface/fairface_008959.jpg,1,3,4
fairface,fairface_002100,data/raw/fairface/fairface_002100.jpg,1,4,6
fairface,fairface_007278,data/raw/fairface/fairface_007278.jpg,1,5,5
fairface,fairface_005983,data/raw/fairface/fairface_005983.jpg,1,4,3
fairface,fairface_001888,data/raw/fairface/fairface_001888.jpg,1,3,4
fairface,fairface_008616,data/raw/fairface/fairface_008616.jpg,0,4,3
fairface,fairface_003558,data/raw/fairface/fairface_003558.jpg,1,6,2
fairface,fairface_001198,data/raw/fairface/fairface_001198.jpg,0,2,4
fairface,fairface_009401,data/raw/fairface/fairface_009401.jpg,0,2,1
fairface,fairface_001654,data/raw/fairface/fairface_001654.jpg,0,5,2
fairface,fairface_005491,data/raw/fairface/fairface_005491.jpg,0,4,4
fairface,fairface_002050,data/raw/fairface/fairface_002050.jpg,1,5,4
fairface,fairface_007334,data/raw/fairface/fairface_007334.jpg,1,1,5
fairface,fairface_008057,data/raw/fairface/fairface_008057.jpg,0,3,3
fairface,fairface_004670,data/raw/fairface/fairface_004670.jpg,0,1,4
fairface,fairface_004367,data/raw/fairface/fairface_004367.jpg,1,0,3
fairface,fairface_008971,data/raw/fairface/fairface_008971.jpg,0,6,2
fairface,fairface_002834,data/raw/fairface/fairface_002834.jpg,0,5,4
fairface,fairface_001611,data/raw/fairface/fairface_001611.jpg,1,0,5
fairface,fairface_002307,data/raw/fairface/fairface_002307.jpg,0,3,3
fairface,fairface_000483,data/raw/fairface/fairface_000483.jpg,1,5,3
fairface,fairface_009801,data/raw/fairface/fairface_009801.jpg,0,2,3
fairface,fairface_002733,data/raw/fairface/fairface_002733.jpg,1,5,4
fairface,fairface_007061,data/raw/fairface/fairface_007061.jpg,0,3,4
fairface,fairface_002767,data/raw/fairface/fairface_002767.jpg,1,5,4
fairface,fairface_009515,data/raw/fairface/fairface_009515.jpg,1,5,5
fairface,fairface_003989,data/raw/fairface/fairface_003989.jpg,1,3,4
fairface,fairface_006466,data/raw/fairface/fairface_006466.jpg,0,3,5
fairface,fairface_009292,data/raw/fairface/fairface_009292.jpg,1,5,6
fairface,fairface_007789,data/raw/fairface/fairface_007789.jpg,1,3,4
fairface,fairface_000902,data/raw/fairface/fairface_000902.jpg,1,3,5
fairface,fairface_000901,data/raw/fairface/fairface_000901.jpg,1,6,1
fairface,fairface_002304,data/raw/fairface/fairface_002304.jpg,0,5,5
fairface,fairface_000925,data/raw/fairface/fairface_000925.jpg,1,6,4
fairface,fairface_002582,data/raw/fairface/fairface_002582.jpg,1,2,3
fairface,fairface_009122,data/raw/fairface/fairface_009122.jpg,0,5,5
fairface,fairface_006815,data/raw/fairface/fairface_006815.jpg,0,3,1
fairface,fairface_008291,data/raw/fairface/fairface_008291.jpg,0,0,3
fairface,fairface_007646,data/raw/fairface/fairface_007646.jpg,0,3,0
fairface,fairface_007907,data/raw/fairface/fairface_007907.jpg,1,6,3
fairface,fairface_007378,data/raw/fairface/fairface_007378.jpg,1,0,2
fairface,fairface_002185,data/raw/fairface/fairface_002185.jpg,1,6,3
fairface,fairface_002299,data/raw/fairface/fairface_002299.jpg,1,3,4
fairface,fairface_008332,data/raw/fairface/fairface_008332.jpg,0,0,4
fairface,fairface_005419,data/raw/fairface/fairface_005419.jpg,1,2,2
